7first_choiceC3,7second_choiceC3,7third_choiceC3,1first_choiceC3,1second_choiceC3,1third_choiceC3,8first_choiceC3,8second_choiceC3,8third_choiceC3,2first_choiceC3,2second_choiceC3,2third_choiceC3,11first_choiceC2,11second_choiceC2,11third_choiceC2,6first_choiceC2,6second_choiceC2,6third_choiceC2,5first_choiceC2,5second_choiceC2,5third_choiceC2,12first_choiceC2,12second_choiceC2,12third_choiceC2,9first_choiceC1,9second_choiceC1,9third_choiceC1,3first_choiceC1,3second_choiceC1,3third_choiceC1,10first_choiceC1,10second_choiceC1,10third_choiceC1,4first_choiceC1,4second_choiceC1,4third_choiceC1,prolific_id,PID,9first_choiceC2,9second_choiceC2,9third_choiceC2,3first_choiceC2,3second_choiceC2,3third_choiceC2,10first_choiceC2,10second_choiceC2,10third_choiceC2,4first_choiceC2,4second_choiceC2,4third_choiceC2,11first_choiceC1,11second_choiceC1,11third_choiceC1,6first_choiceC1,6second_choiceC1,6third_choiceC1,5first_choiceC1,5second_choiceC1,5third_choiceC1,12first_choiceC1,12second_choiceC1,12third_choiceC1,9first_choiceC3,9second_choiceC3,9third_choiceC3,3first_choiceC3,3second_choiceC3,3third_choiceC3,10first_choiceC3,10second_choiceC3,10third_choiceC3,4first_choiceC3,4second_choiceC3,4third_choiceC3,7first_choiceC2,7second_choiceC2,7third_choiceC2,1first_choiceC2,1second_choiceC2,1third_choiceC2,8first_choiceC2,8second_choiceC2,8third_choiceC2,2first_choiceC2,2second_choiceC2,2third_choiceC2,11first_choiceC3,11second_choiceC3,11third_choiceC3,6first_choiceC3,6second_choiceC3,6third_choiceC3,5first_choiceC3,5second_choiceC3,5third_choiceC3,12first_choiceC3,12second_choiceC3,12third_choiceC3
2025-07-16 14:12:14.920081,2025-07-16 14:12:19.759969,2025-07-16 14:14:02.805183,2025-07-16 14:14:24.952970,2025-07-16 14:14:44.695881,2025-07-16 14:15:47.267659,2025-07-16 14:15:57.628423,2025-07-16 14:16:04.330446,2025-07-16 14:16:25.539831,2025-07-16 14:16:42.503874,2025-07-16 14:16:48.756844,2025-07-16 14:17:06.734646,,,,,,,,,,,,,,,,,,,,,,,,,study-data/5d7ff85ffec5620017b07c40.jsonl,2,2025-07-16 14:04:46.423142,2025-07-16 14:04:59.406123,2025-07-16 14:05:09.129076,2025-07-16 14:05:25.314948,2025-07-16 14:05:37.984052,2025-07-16 14:06:10.512656,2025-07-16 14:06:30.124979,2025-07-16 14:06:33.713796,2025-07-16 14:06:42.556314,2025-07-16 14:07:24.887455,2025-07-16 14:07:40.192473,2025-07-16 14:07:51.436851,2025-07-16 14:08:40.919910,2025-07-16 14:08:46.367362,2025-07-16 14:09:11.449538,2025-07-16 14:09:45.864514,2025-07-16 14:09:52.789836,2025-07-16 14:09:59.871295,2025-07-16 14:10:13.427869,2025-07-16 14:10:20.787703,2025-07-16 14:10:38.361355,2025-07-16 14:11:07.539409,2025-07-16 14:11:12.053920,2025-07-16 14:11:23.634745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 0, 5000]","[5000, 5000, 0]","[6000, 4000, 0]",Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,"[1, 7, 1]","[1, 7, 1]","[1, 7, 1]",,,,,,,,,,,,,,,,,,,,,,,,,study-data/5d7ff85ffec5620017b07c40.jsonl,2,Do not attempt to separate the twins,Do not attempt to separate the twins,Do not attempt to separate the twins,"[1, 1, 7]","[7, 1, 1]","[7, 1, 1]",Donate one dollar,Donate one dollar,Donate one dollar,"[3000, 3000, 3000]","[3000, 3000, 3000]","[3000, 3000, 3000]",Approve the research,Approve the research,Approve the research,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Report Sam truthfully,Report Sam truthfully,Report Sam truthfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17 14:14:33.618956,2025-07-17 14:14:40.690388,2025-07-17 14:16:44.423364,2025-07-17 14:18:06.848088,2025-07-17 14:18:32.106270,2025-07-17 14:19:03.836053,2025-07-17 14:19:33.529587,2025-07-17 14:19:43.626864,2025-07-17 14:20:06.449853,2025-07-17 14:20:26.111629,2025-07-17 14:20:36.090402,2025-07-17 14:21:47.702010,2025-07-17 14:22:33.988721,2025-07-17 14:22:41.451974,2025-07-17 14:22:56.335711,2025-07-17 14:23:20.816321,2025-07-17 14:23:55.600004,2025-07-17 14:24:40.464703,2025-07-17 14:25:06.772055,2025-07-17 14:25:19.709588,2025-07-17 14:25:37.054487,2025-07-17 14:26:11.999821,2025-07-17 14:26:20.938421,2025-07-17 14:26:25.204902,2025-07-17 14:28:00.089569,2025-07-17 14:28:06.660724,2025-07-17 14:28:32.775388,2025-07-17 14:28:56.875527,2025-07-17 14:29:22.649739,2025-07-17 14:29:35.942588,2025-07-17 14:30:12.754272,2025-07-17 14:30:16.802452,2025-07-17 14:30:24.267310,2025-07-17 14:31:13.050661,2025-07-17 14:31:52.324321,2025-07-17 14:32:05.391799,study-data/670453b0d93209a1e156916d.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[7000, 2000, 1000]","[7000, 2000, 1000]","[7000, 2000, 1000]",Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,"[1, 7, 1]","[1, 7, 1]","[1, 7, 1]",Do not approve the research,Do not approve the research,Do not approve the research,"[4, 2, 6]","[4, 2, 6]","[4, 2, 6]","[6, 2, 4]","[6, 2, 4]","[6, 2, 5]",Report Sam truthfully,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[1, 2, 6]","[1, 2, 6]","[1, 2, 6]",Donate one dollar,Donate one dollar,Donate one dollar,"[1000, 8000, 1000]","[2000, 7000, 1000]","[2000, 7000, 1000]",study-data/670453b0d93209a1e156916d.jsonl,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-18 18:20:56.172718,2025-07-18 18:21:02.842661,2025-07-18 18:21:46.573314,2025-07-18 18:22:15.320335,2025-07-18 18:22:32.409797,2025-07-18 18:23:13.909985,2025-07-18 18:23:22.498766,2025-07-18 18:23:29.795829,2025-07-18 18:23:41.805496,2025-07-18 18:23:58.844682,2025-07-18 18:24:13.252300,2025-07-18 18:25:04.268141,2025-07-18 18:17:15.452814,2025-07-18 18:17:23.426184,2025-07-18 18:17:31.623762,2025-07-18 18:17:54.812740,2025-07-18 18:18:17.172054,2025-07-18 18:18:31.128965,2025-07-18 18:19:20.615789,2025-07-18 18:19:33.722422,2025-07-18 18:19:50.098146,2025-07-18 18:20:04.728215,2025-07-18 18:20:17.039262,2025-07-18 18:20:22.597581,2025-07-18 18:25:39.361350,2025-07-18 18:25:46.035382,2025-07-18 18:26:14.468177,2025-07-18 18:26:31.260525,2025-07-18 18:26:43.493728,2025-07-18 18:27:14.155875,2025-07-18 18:27:22.102760,2025-07-18 18:27:27.401707,2025-07-18 18:27:50.118459,2025-07-18 18:28:21.659670,2025-07-18 18:28:42.579028,2025-07-18 18:29:19.751484,study-data/5be87e33a14b540001aa2ea5.jsonl,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[6000, 3000, 1000]","[6000, 3000, 1000]","[6000, 3000, 1000]",Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,Sacrifice ten people to develop the vaccine.,"[2, 2, 5]","[2, 1, 6]","[3, 1, 6]",Do not approve the research,Do not approve the research,Do not approve the research,"[5, 4, 3]","[6, 3, 1]","[6, 3, 1]","[6, 1, 3]","[6, 1, 2]","[6, 1, 2]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[2, 1, 7]","[3, 1, 6]","[2, 1, 6]",Donate one dollar,Donate one dollar,Donate one dollar,"[2000, 7000, 1000]","[3000, 6000, 1000]","[3000, 6000, 1000]",study-data/5be87e33a14b540001aa2ea5.jsonl,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-17 18:03:00.818986,2025-07-17 18:03:05.476346,2025-07-17 18:05:07.867652,2025-07-17 18:06:11.070085,2025-07-17 18:06:46.080801,2025-07-17 18:07:19.433071,2025-07-17 18:08:10.559073,2025-07-17 18:08:14.245809,2025-07-17 18:08:33.235696,2025-07-17 18:09:26.818426,2025-07-17 18:09:51.735910,2025-07-17 18:10:34.283786,,,,,,,,,,,,,,,,,,,,,,,,,study-data/66c5118758e462c3fe742d2a.jsonl,2,2025-07-17 17:44:16.264626,2025-07-17 17:44:58.960178,2025-07-17 17:45:18.934162,2025-07-17 17:46:06.735610,2025-07-17 17:47:22.023790,2025-07-17 17:47:42.594487,2025-07-17 17:48:36.615506,2025-07-17 17:48:53.082690,2025-07-17 17:49:05.474366,2025-07-17 17:50:30.050768,2025-07-17 17:51:14.110562,2025-07-17 17:51:31.124685,2025-07-17 17:54:06.868875,2025-07-17 17:54:01.149097,2025-07-17 17:55:11.599571,2025-07-17 17:56:20.941651,2025-07-17 17:56:52.703702,2025-07-17 17:57:07.406433,2025-07-17 17:58:29.937557,2025-07-17 17:58:45.549334,2025-07-17 17:59:06.263954,2025-07-17 18:00:02.283708,2025-07-17 18:00:07.619176,2025-07-17 18:00:22.870801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 1000, 4000]","[5000, 4000, 1000]","[5000, 4000, 1000]","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[6, 2, 2]","[4, 2, 5]","[4, 2, 5]",,,,,,,,,,,,,,,,,,,,,,,,,study-data/66c5118758e462c3fe742d2a.jsonl,2,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[5, 2, 7]","[6, 2, 5]","[6, 2, 5]",Donate one dollar,Donate one dollar,Donate one dollar,"[2000, 5000, 1000]","[4000, 5000, 1000]","[4000, 5000, 1000]",Approve the research,Approve the research,Approve the research,"[3, 3, 3]","[3, 3, 3]","[3, 3, 3]","[7, 1, 4]","[7, 1, 4]","[7, 1, 4]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study-data/66e62716a40afa9a9b4d23c6.jsonl,6,,,,,,,,,,,,,2025-07-17 16:20:53.391536,2025-07-17 16:21:30.953981,,2025-07-17 16:23:43.973108,2025-07-17 16:23:58.151058,2025-07-17 16:24:27.116250,2025-07-17 16:25:15.230784,2025-07-17 16:25:24.158878,2025-07-17 16:25:35.635883,2025-07-17 16:26:38.992397,2025-07-17 16:26:48.873081,2025-07-17 16:26:56.845754,2025-07-17 16:28:13.540297,2025-07-17 16:28:15.598623,2025-07-17 16:28:49.828005,2025-07-17 16:29:07.930484,2025-07-17 16:29:14.172417,2025-07-17 16:29:31.764936,2025-07-17 16:29:45.711924,2025-07-17 16:29:54.140712,2025-07-17 16:30:09.087783,2025-07-17 16:30:51.768681,2025-07-17 16:31:12.664809,2025-07-17 16:31:33.669024,2025-07-17 16:32:15.511069,2025-07-17 16:32:28.004096,2025-07-17 16:32:40.243754,2025-07-17 16:33:08.281686,2025-07-17 16:33:25.283614,2025-07-17 16:33:42.683982,2025-07-17 16:34:00.590969,2025-07-17 16:34:12.292797,2025-07-17 16:34:24.256055,2025-07-17 16:35:21.182455,2025-07-17 16:35:27.509920,2025-07-17 16:35:38.445698,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,study-data/66e62716a40afa9a9b4d23c6.jsonl,6,,,,,,,,,,,,,Approve the research,Approve the research,,"[6, 7, 1]","[7, 5, 1]","[7, 6, 1]","[7, 1, 1]","[7, 2, 1]","[7, 1, 1]",Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Protect Sam by saying his work is improving,Attempt to separate the twins,Attempt to separate the twins,Attempt to separate the twins,"[7, 1, 1]","[7, 1, 1]","[7, 1, 1]",Donate one dollar,Donate one dollar,Donate one dollar,"[5000, 5000, 0]","[4000, 5000, 1000]","[4000, 5000, 1000]",Do not tell the patient about their condition.,Tell the patient about their condition.,Tell the patient about their condition.,"[5000, 4000, 1000]","[4000, 4000, 1000]","[5000, 4000, 1000]",Sacrifice ten people to develop the vaccine.,"Do not sacrifice ten people, and do not develop the vaccine.","Do not sacrifice ten people, and do not develop the vaccine.","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",,,,,,,,,,,,
